2026-06-21 16:26:07 - producer_sms - INFO - 🔍 Testing Oracle Database Connection...
2026-06-21 16:26:07 - producer_sms - INFO - ✅ Oracle Connection Successful! Server Time: 2026-06-21 16:26:07
2026-06-21 16:26:07 - producer_sms - INFO - Creating Oracle Connection Pool...
2026-06-21 16:26:07 - producer_sms - INFO - 🚀 SMS Producer Started - Polling Oracle Database...
2026-06-21 16:26:07 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:08 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:09 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:10 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:11 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:12 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:13 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:14 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:15 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:16 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:17 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:18 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:19 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:20 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:21 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:22 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:23 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:24 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:25 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:26 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:27 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:28 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:29 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:30 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:31 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:32 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:33 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:34 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:35 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:36 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:37 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:38 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:39 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:40 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:41 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:42 - producer_sms - DEBUG - No pending messages found
2026-06-21 16:26:43 - producer_sms - DEBUG - No pending messages found
